property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,gls avenue,sector 92,0.21,6954.0,302.0,Carpet area: 302 (28.06 sq.m.),1.0,1,1,0.0,South-East,Relatively New,,,302.0,0,0,0,0,0,0,63,302.0
flat,paras quartier,sector 59,5.9,11028.0,5350.0,Built Up area: 5350 (497.03 sq.m.),4.0,4,3+,0.0,,Moderately old,,5350.0,,0,0,0,0,0,0,63,1337.5
flat,hsiidc sidco aravali,sector 1,0.9,3477.0,2588.4,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),3.0,3,3+,8.0,East,Moderately old,2588.0,1900.0,,0,0,0,0,0,0,23,862.8000000000001
house,sector 15 part 2 rwa,sector 15,10.0,22120.0,4520.84,Plot area 502(419.74 sq.m.),5.0,5,2,2.0,East,Old Property,,4518.0,,0,0,0,0,0,0,49,904.168
flat,eldeco accolade,sector 48,0.72,4975.0,1447.2,Super Built up area 1457(135.36 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2.0,2,3+,12.0,East,Relatively New,1457.0,,849.0,0,0,0,0,0,0,152,723.6
flat,dlf belvedere towers,sector 25,3.4,13765.0,2470.0,Carpet area: 2470 (229.47 sq.m.),4.0,4,3,1.0,South-East,Old Property,,,2470.0,0,0,0,0,0,0,26,617.5
flat,pareena coban residences,sector 99,1.3,6510.0,1996.9,Built Up area: 1997 (185.53 sq.m.),3.0,3,0,16.0,,Undefined,,1997.0,,0,0,0,0,0,0,0,665.6333333333333
flat,vatika the seven lamps,sector 82,1.39,6412.0,2167.8,Super Built up area 2160(200.67 sq.m.),3.0,3,3+,11.0,East,Relatively New,2160.0,,,0,0,0,0,0,2,117,722.6
flat,global hill view,sector 11,0.33,4271.0,772.6,Built Up area: 761 (70.7 sq.m.),2.0,2,0,11.0,,Undefined,,761.0,,0,0,0,0,0,0,0,386.3
flat,.,sector 59,7.0,11000.0,6363.6,Super Built up area 6000(557.42 sq.m.),4.0,4,3+,6.0,South-West,Relatively New,6000.0,,,0,0,0,0,0,0,52,1590.9
flat,tulip violet,sector 69,1.85,9203.0,2010.2,Super Built up area 2010(186.74 sq.m.),4.0,4,2,14.0,North-East,Relatively New,2010.0,,,0,0,0,0,0,2,157,502.55
flat,pioneer araya,sector 62,9.14,19488.0,4690.1,Super Built up area 4690(435.72 sq.m.)Carpet area: 3258 sq.ft. (302.68 sq.m.),4.0,6,3,16.0,East,Relatively New,4690.0,,3258.0,0,0,0,0,0,2,146,1172.525
flat,experion windchants,sector 112,2.8,11470.0,2441.2,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2.0,3,2,9.0,South-East,Relatively New,2441.0,1939.03,1800.0,0,0,0,0,0,0,137,1220.6
flat,emaar mgf emerald estate,sector 65,1.3,20602.0,631.0,Super Built up area 1020(94.76 sq.m.)Carpet area: 631 sq.ft. (58.62 sq.m.),2.0,2,2,7.0,West,Relatively New,1020.0,,631.0,0,0,0,0,0,0,78,315.5
flat,dlf the primus,sector 82,3.5,13430.0,2606.1,Carpet area: 2606 (242.11 sq.m.),5.0,5,3+,14.0,North-East,Relatively New,,,2606.0,0,0,0,0,0,1,49,521.22
flat,emaar mgf emerald floors,sector 65,3.2,10159.0,3149.9,Built Up area: 3150 (292.64 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),4.0,3,2,1.0,,Relatively New,,3150.0,1750.0,0,0,0,0,0,0,0,787.475
flat,dlf the ultima,sector 81,3.45,12012.0,2872.1,Super Built up area 2872(266.82 sq.m.),4.0,4,3+,10.0,East,New Property,2872.0,,,0,0,0,0,0,1,165,718.025
flat,ss the leaf,sector 85,1.93,8075.0,2390.1,Super Built up area 2408(223.71 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2390 sq.ft. (222.04 sq.m.),3.0,4,3,7.0,North-East,Relatively New,2408.0,2400.0,2390.0,0,0,0,0,0,0,174,796.6999999999999
flat,mapsko casa bella,sector 82,0.86,8120.0,1059.1,Super Built up area 1430(132.85 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),3.0,3,3,5.0,South,Moderately old,1430.0,,1056.0,0,0,0,0,0,2,120,353.0333333333333
flat,shree vardhman victoria,sector 70,1.07,7925.0,1350.2,Super Built up area 1350(125.42 sq.m.),2.0,2,3,8.0,North,Relatively New,1350.0,,,0,0,0,0,0,0,108,675.1
flat,bestech park view city,sector 48,1.8,10250.0,1756.1,Carpet area: 1756 (163.14 sq.m.),3.0,4,3,3.0,North-West,Moderately old,,,1756.0,0,0,0,0,0,2,76,585.3666666666667
house,shivpuri,sector 7,2.4,8883.0,2701.74,Plot area 300(250.84 sq.m.),10.0,5,3,2.0,North,Old Property,,2700.0,,1,1,0,1,0,0,8,270.174
