property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servent room,store room,furnishing_type,luxury_category,floor_category,price
0.0,90.0,1.0,1,1.0,3.0,336.0,0,0,0,2.0,1.0,0.21
0.0,56.0,4.0,4,4.0,0.0,5350.0,0,0,0,2.0,1.0,5.9
0.0,0.0,3.0,3,4.0,0.0,1900.0,0,0,0,1.0,2.0,0.9
1.0,18.0,5.0,5,2.0,2.0,4518.0,0,0,0,1.0,1.0,10.0
0.0,44.0,2.0,2,4.0,3.0,1165.0,0,0,0,0.0,0.0,0.72
0.0,25.0,4.0,4,3.0,2.0,2744.0,0,0,0,1.0,1.0,3.4
0.0,93.0,3.0,3,0.0,1.0,1997.0,0,0,0,1.0,0.0,1.3
0.0,80.0,3.0,3,4.0,3.0,2057.0,0,0,2,2.0,0.0,1.39
0.0,10.0,2.0,2,0.0,3.0,761.0,0,0,0,1.0,0.0,0.33
0.0,56.0,4.0,4,4.0,3.0,5714.0,0,0,0,2.0,2.0,7.0
0.0,66.0,4.0,4,2.0,3.0,1914.0,0,0,2,0.0,0.0,1.85
0.0,60.0,4.0,6,3.0,3.0,4043.0,0,0,2,2.0,0.0,9.14
0.0,13.0,2.0,3,2.0,3.0,2441.2,0,0,0,2.0,2.0,2.8
0.0,62.0,2.0,2,2.0,3.0,836.0,0,0,0,2.0,2.0,1.3
0.0,80.0,5.0,5,4.0,3.0,2896.0,0,0,1,1.0,0.0,3.5
0.0,62.0,4.0,3,2.0,3.0,3150.0,0,0,0,1.0,1.0,3.2
0.0,79.0,4.0,4,4.0,1.0,2735.0,0,0,1,0.0,2.0,3.45
0.0,83.0,3.0,4,3.0,3.0,2400.0,0,0,0,0.0,2.0,1.93
0.0,80.0,3.0,3,3.0,0.0,1268.0,0,0,2,2.0,2.0,0.86
0.0,68.0,2.0,2,3.0,3.0,1286.0,0,0,0,2.0,2.0,1.07
0.0,44.0,3.0,4,3.0,0.0,1951.0,0,0,2,2.0,2.0,1.8
1.0,67.0,10.0,5,3.0,2.0,2700.0,1,0,0,1.0,1.0,2.4
0.0,80.0,3.0,3,4.0,3.0,1711.0,0,0,1,0.0,2.0,1.59
0.0,92.0,4.0,3,3.0,3.0,2824.0,0,0,0,1.0,2.0,1.1
0.0,85.0,3.0,3,3.0,1.0,1680.0,0,0,0,2.0,2.0,1.29
0.0,90.0,3.0,2,2.0,1.0,1236.0,0,0,0,1.0,0.0,0.79
0.0,34.0,3.0,2,4.0,3.0,1448.0,0,0,0,1.0,0.0,1.5
0.0,79.0,2.0,2,2.0,3.0,664.0,0,0,2,1.0,2.0,0.45
0.0,34.0,3.0,3,3.0,3.0,1725.0,0,0,0,2.0,2.0,1.45
0.0,33.0,3.0,2,3.0,1.0,1122.0,0,0,0,2.0,1.0,1.0
0.0,28.0,3.0,4,4.0,0.0,1956.0,0,0,1,1.0,2.0,2.2
0.0,90.0,3.0,3,3.0,3.0,1473.0,0,0,0,2.0,1.0,0.71
0.0,30.0,3.0,2,2.0,2.0,1300.0,0,0,1,2.0,1.0,1.45
1.0,9.0,4.0,5,4.0,3.0,2430.0,1,0,2,2.0,1.0,6.0
0.0,86.0,2.0,2,2.0,3.0,810.0,0,0,0,1.0,2.0,0.42
0.0,2.0,3.0,3,3.0,3.0,1353.0,0,0,0,1.0,2.0,1.42
0.0,87.0,4.0,3,4.0,0.0,2056.0,0,0,0,1.0,2.0,1.5
0.0,53.0,3.0,3,4.0,2.0,1900.0,0,0,0,0.0,2.0,1.45
1.0,26.0,5.0,5,4.0,3.0,4518.0,1,0,1,1.0,1.0,13.5
0.0,76.0,2.0,2,3.0,3.0,1485.0,0,0,0,0.0,2.0,1.33
0.0,68.0,3.0,3,3.0,1.0,1857.0,0,0,0,1.0,2.0,1.9
0.0,60.0,2.0,2,3.0,4.0,1676.0,0,0,0,2.0,0.0,2.15
1.0,17.0,5.0,4,2.0,2.0,3239.93,0,0,0,1.0,1.0,5.5
0.0,0.0,3.0,3,4.0,0.0,2321.0,0,0,0,1.0,2.0,0.9
0.0,64.0,3.0,4,4.0,3.0,2335.0,0,0,2,2.0,0.0,3.15
0.0,2.0,2.0,2,2.0,3.0,871.0,0,0,0,2.0,0.0,0.97
0.0,83.0,2.0,2,2.0,3.0,1934.0,0,0,2,1.0,0.0,1.25
1.0,25.0,2.0,9,4.0,3.0,1937.5,1,0,2,0.0,2.0,7.5
1.0,36.0,1.0,1,2.0,2.0,892.0,0,0,0,1.0,1.0,1.6
0.0,44.0,2.0,2,3.0,1.0,1361.0,0,0,0,1.0,0.0,1.5
1.0,44.0,3.0,2,1.0,0.0,2333.0,0,0,0,1.0,1.0,0.82
0.0,8.0,2.0,2,2.0,3.0,1315.0,0,0,0,2.0,2.0,1.9
0.0,62.0,3.0,3,4.0,1.0,1556.0,0,0,2,2.0,1.0,1.95
0.0,70.0,3.0,4,4.0,3.0,2140.0,0,0,2,0.0,0.0,3.21
0.0,34.0,3.0,3,3.0,3.0,1700.0,0,0,0,2.0,2.0,1.1
0.0,82.0,2.0,2,1.0,3.0,537.0,0,0,2,2.0,1.0,0.34
0.0,90.0,3.0,3,2.0,3.0,1124.0,0,0,0,1.0,1.0,0.5
0.0,68.0,2.0,2,3.0,3.0,1402.0,0,0,0,1.0,0.0,1.25
0.0,89.0,4.0,4,4.0,3.0,2251.0,0,0,0,2.0,2.0,1.75
1.0,24.0,3.0,3,1.0,2.0,540.0,0,0,0,1.0,1.0,1.45
0.0,76.0,2.0,2,3.0,3.0,1044.0,0,0,0,1.0,2.0,0.96
0.0,12.0,2.0,2,1.0,3.0,1408.0,0,0,0,2.0,2.0,0.96
1.0,22.0,7.0,5,4.0,2.0,2368.06,0,0,2,1.0,2.0,4.75
0.0,64.0,3.0,4,3.0,1.0,1941.0,0,0,2,0.0,2.0,1.85
0.0,76.0,3.0,3,4.0,3.0,1200.0,0,0,0,1.0,1.0,1.15
0.0,69.0,3.0,3,3.0,3.0,1543.0,0,0,0,2.0,0.0,1.1
0.0,65.0,2.0,2,2.0,3.0,1250.0,0,0,2,1.0,0.0,1.02
1.0,73.0,2.0,2,2.0,1.0,745.0,0,0,0,1.0,0.0,0.75
0.0,66.0,3.0,3,1.0,3.0,1493.0,0,0,2,2.0,0.0,1.29
0.0,2.0,3.0,3,3.0,3.0,1571.0,0,0,0,0.0,2.0,1.45
