property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servent room,store room,furnishing_type,luxury_category,floor_category
flat,sector 92,0.21,1.0,1,1,Relatively New,336.0,0,0,0,Medium,Low Floor
flat,sector 59,5.9,4.0,4,3+,Moderately old,5350.0,0,0,0,Medium,Low Floor
flat,sector 1,0.9,3.0,3,3+,Moderately old,1900.0,0,0,0,Low,Mid Floor
house,sector 15,10.0,5.0,5,2,Old Property,4518.0,0,0,0,Low,Low Floor
flat,sector 48,0.72,2.0,2,3+,Relatively New,1165.0,0,0,0,High,High Floor
flat,sector 25,3.4,4.0,4,3,Old Property,2744.0,0,0,0,Low,Low Floor
flat,sector 99,1.3,3.0,3,0,New Property,1997.0,0,0,0,Low,High Floor
flat,sector 82,1.39,3.0,3,3+,Relatively New,2057.0,0,0,2,Medium,High Floor
flat,sector 11,0.33,2.0,2,0,Relatively New,761.0,0,0,0,Low,High Floor
flat,sector 59,7.0,4.0,4,3+,Relatively New,5714.0,0,0,0,Medium,Mid Floor
flat,sector 69,1.85,4.0,4,2,Relatively New,1914.0,0,0,2,High,High Floor
flat,sector 62,9.14,4.0,6,3,Relatively New,4043.0,0,0,2,Medium,High Floor
flat,sector 112,2.8,2.0,3,2,Relatively New,2441.2,0,0,0,Medium,Mid Floor
flat,sector 65,1.3,2.0,2,2,Relatively New,836.0,0,0,0,Medium,Mid Floor
flat,sector 82,3.5,5.0,5,3+,Relatively New,2896.0,0,0,1,Low,High Floor
flat,sector 65,3.2,4.0,3,2,Relatively New,3150.0,0,0,0,Low,Low Floor
flat,sector 81,3.45,4.0,4,3+,New Property,2735.0,0,0,1,High,Mid Floor
flat,sector 85,1.93,3.0,4,3,Relatively New,2400.0,0,0,0,High,Mid Floor
flat,sector 82,0.86,3.0,3,3,Moderately old,1268.0,0,0,2,Medium,Mid Floor
flat,sector 70,1.07,2.0,2,3,Relatively New,1286.0,0,0,0,Medium,Mid Floor
flat,sector 48,1.8,3.0,4,3,Moderately old,1951.0,0,0,2,Medium,Mid Floor
house,sector 7,2.4,10.0,5,3,Old Property,2700.0,1,0,0,Low,Low Floor
flat,sector 82,1.59,3.0,3,3+,Relatively New,1711.0,0,0,1,High,Mid Floor
flat,sector 95,1.1,4.0,3,3,Relatively New,2824.0,0,0,0,Low,Mid Floor
flat,sector 88,1.29,3.0,3,3,New Property,1680.0,0,0,0,Medium,Mid Floor
flat,sector 92,0.79,3.0,2,2,New Property,1236.0,0,0,0,Low,High Floor
flat,sector 37,1.5,3.0,2,3+,Relatively New,1448.0,0,0,0,Low,High Floor
flat,sector 81,0.45,2.0,2,2,Relatively New,664.0,0,0,2,Low,Mid Floor
flat,sector 37,1.45,3.0,3,3,Relatively New,1725.0,0,0,0,Medium,Mid Floor
flat,sector 36,1.0,3.0,2,3,New Property,1122.0,0,0,0,Medium,Low Floor
flat,sector 28,2.2,3.0,4,3+,Moderately old,1956.0,0,0,1,Low,Mid Floor
flat,sector 92,0.71,3.0,3,3,Relatively New,1473.0,0,0,0,Medium,Low Floor
flat,sector 30,1.45,3.0,2,2,Old Property,1300.0,0,0,1,Medium,Low Floor
house,sector 109,6.0,4.0,5,3+,Relatively New,2430.0,1,0,2,Medium,Low Floor
flat,sector 89,0.42,2.0,2,2,Relatively New,810.0,0,0,0,Low,Mid Floor
flat,sector 102,1.42,3.0,3,3,Relatively New,1353.0,0,0,0,Low,Mid Floor
flat,sector 9,1.5,4.0,3,3+,Moderately old,2056.0,0,0,0,Low,Mid Floor
flat,sector 56,1.45,3.0,3,3+,Old Property,1900.0,0,0,0,High,Mid Floor
house,sector 26,13.5,5.0,5,3+,Relatively New,4518.0,1,0,1,Low,Low Floor
flat,sector 79,1.33,2.0,2,3,Relatively New,1485.0,0,0,0,High,Mid Floor
flat,sector 70,1.9,3.0,3,3,New Property,1857.0,0,0,0,Low,Mid Floor
flat,sector 62,2.15,2.0,2,3,Under Construction,1676.0,0,0,0,Medium,High Floor
house,sector 14,5.5,5.0,4,2,Old Property,3239.93,0,0,0,Low,Low Floor
flat,sector 1,0.9,3.0,3,3+,Moderately old,2321.0,0,0,0,Low,Mid Floor
flat,sector 67,3.15,3.0,4,3+,Relatively New,2335.0,0,0,2,Medium,High Floor
