property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,sector 4,50.0,10482.0,47701.0,Built Up area: 53 (44.31 sq.m.),5,3,0,1.0,,Undefined,,53.0,,0,0,0,0,0,0,0
house,independent,sector 4,67.0,88157.0,7600.0,Plot area 76(7.06 sq.m.),3,3,2,2.0,South,Relatively New,,76.0,,0,0,0,0,1,0,7
house,independent,sector 50,7.0,23333.0,3000.0,Plot area 2400(222.97 sq.m.)Built Up area: 3400 sq.ft. (315.87 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,2,3.0,North-East,Old Property,,3400.0,3000.0,0,1,0,0,0,0,118
house,luxury dlf city floors,sector 26,20.0,48889.0,4091.0,Plot area 500(418.06 sq.m.),16,16,3+,4.0,,New Property,,500.0,,0,1,0,0,0,1,31
house,independent,sector 43,15.5,28233.0,5490.0,Plot area 610(510.04 sq.m.),5,6,3,3.0,East,Moderately Old,,5490.0,,1,1,1,1,0,0,76
house,unitech espace,sector 50,7.5,34722.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 241 sq.yards (201.51 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),3,3,2,2.0,West,Moderately Old,,241.0,240.0,0,1,0,0,0,1,66
house,independent,sector 13,50.0,90909.0,5500.0,Plot area 55(5.11 sq.m.),12,4,3,4.0,,Old Property,,55.0,,0,0,0,0,0,0,15
house,independent,sector 12,90.0,13333.0,67502.0,Built Up area: 675 (62.71 sq.m.),4,4,0,2.0,,Undefined,,675.0,,0,0,0,0,0,0,0
house,independent,sector 56,11.5,42032.0,2736.0,Plot area 304(254.18 sq.m.),12,13,3+,4.0,West,Relatively New,,2736.0,,1,1,0,1,0,1,49
house,independent,sector 25,13.5,37313.0,3618.0,Plot area 402(336.12 sq.m.),5,6,3+,4.0,North-East,Old Property,,3618.0,,0,0,0,0,1,1,79
house,independent,sector 8,59.0,10085.0,58503.0,Plot area 585(54.35 sq.m.),2,2,2,2.0,,Moderately Old,,585.0,,0,0,0,0,1,0,7
house,independent,sector 21,45.0,8411.0,53501.0,Carpet area: 535 (49.7 sq.m.),3,2,1,1.0,,Undefined,,,535.0,0,0,0,0,0,0,0
house,vipul tatvam villa,sector 48,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),4,6,3,3.0,North,Old Property,,3240.0,,0,1,0,1,1,0,49
house,dlf city plots,sector 26,19.0,42054.0,4518.0,Plot area 502(419.74 sq.m.),6,6,3,2.0,East,Relatively New,,4518.0,,1,1,0,0,0,1,121
house,emaar mgf marbella,sector 66,9.01,16066.0,5608.0,Plot area 521,4,4,3+,3.0,North-East,Relatively New,,5574.7,,0,1,1,0,0,0,122
house,independent,sector 39,15.0,33333.0,4500.0,Plot area 500(418.06 sq.m.),5,5,3+,4.0,,Moderately Old,,4500.0,,0,1,0,0,0,1,27
flat,pioneer araya,sector 62,9.95,20995.0,4739.2,Super Built up area 4739(440.27 sq.m.)Carpet area: 3219 sq.ft. (299.05 sq.m.),4,6,3,12.0,South-East,Relatively New,4739.0,,3219.0,0,0,0,0,0,1,138
house,independent,sector 21,60.0,6173.0,97197.0,Plot area 108(90.3 sq.m.),8,3,2,3.0,,Old Property,,108.0,,0,0,0,0,0,0,0
house,independent,sector 104,71.0,10142.0,70006.0,Plot area 700(65.03 sq.m.),4,2,1,2.0,,New Property,,700.0,,0,0,0,0,0,0,0
house,independent,sector 6,66.0,10784.0,61202.0,Plot area 612(56.86 sq.m.),3,2,1,2.0,,Old Property,,612.0,,0,0,0,0,0,0,36
house,independent,sector 11,95.0,7308.0,129995.0,Built Up area: 1300 (120.77 sq.m.),5,3,0,1.0,,Undefined,,1300.0,,0,0,0,0,0,0,0
house,independent,sector 4,80.0,11852.0,67499.0,Plot area 75(62.71 sq.m.),5,3,1,2.0,,Moderately Old,,75.0,,0,0,0,0,0,0,0
house,jacob pura,sector 12,35.0,9722.0,36001.0,Built Up area: 360 (33.45 sq.m.),2,1,0,1.0,,Old Property,,360.0,,0,0,0,0,0,0,0
house,ireo victory valley,sector 67,8.0,22222.0,3600.0,Plot area 400(334.45 sq.m.),6,7,3+,51.0,North-East,Moderately Old,,3600.0,,1,1,0,1,0,1,49
house,aindependentt raj estates,sector 63,8.5,27139.0,3132.0,Plot area 348(290.97 sq.m.),6,6,3+,3.0,East,Under Construction,,3132.0,,0,0,1,1,0,0,29
