property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,Chimney,Modular Kitchen,Microwave,AC,Geyser,Bed,Light,Dining Table,Stove,Sofa,Water Purifier,Fridge,Curtains,Exhaust Fan,TV,Wardrobe,Fan,Washing Machine,furnishing_type,luxury_score
house,ardee city,sector 52,5.5,183333.0,301.39,Plot area 300(27.87 sq.m.),9,9,3+,3.0,South,Moderately old,,300.0,,0,1,0,1,1,3,1,0,10,9,0,0,0,0,0,0,0,0,1,0,9,21,0,1,26
house,international city by sobha phase 2,sector 109,8.48,23556.0,3595.14,Plot area 400(334.45 sq.m.),4,6,3+,3.0,North-East,New Property,,3600.0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
house,independent,sector 25,16.0,59259.0,3153.82,Plot area 350(292.64 sq.m.)Built Up area: 325 sq.yards (271.74 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),16,16,3+,4.0,West,New Property,,325.0,300.0,1,1,1,1,0,1,1,1,24,21,0,51,0,1,0,1,0,0,1,0,24,24,0,1,72
house,independent,sector 26,8.49,47167.0,1797.57,Plot area 200(167.23 sq.m.),12,12,3+,4.0,North,Relatively New,,1800.0,,0,1,0,1,0,1,1,1,0,6,0,4,0,1,0,0,0,0,1,0,6,6,0,1,42
flat,mm golfestate,sector 65,6.15,18331.0,3355.0,Built Up area: 3355 (311.69 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,2,20.0,North-East,Undefined,,3355.0,2200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,sector 45,7.35,29697.0,2475.7,Plot area 275(229.94 sq.m.),6,4,3+,3.0,North-East,Old Property,,2475.0,,1,1,1,1,0,0,1,0,0,0,0,9,0,0,0,0,0,1,1,0,8,9,0,1,61
house,independent,sector 56,11.95,43534.0,2744.79,Plot area 305(255.02 sq.m.),12,12,3+,4.0,West,Relatively New,,2745.0,,0,1,0,0,0,4,1,0,16,16,0,26,0,0,0,0,0,0,1,0,12,25,0,1,21
house,nirvana country,sector 41,16.0,35556.0,4499.31,Plot area 500(418.06 sq.m.),6,7,3,3.0,North-West,Old Property,,4500.0,,0,1,1,1,0,1,1,0,8,7,0,46,0,0,0,0,0,0,1,0,0,12,0,1,113
house,malibu towne,sector 47,8.5,53125.0,1603.82,Built Up area: 1600 (148.64 sq.m.),12,12,3+,4.0,North,New Property,,1600.0,,0,0,0,0,0,1,0,0,0,0,0,101,0,0,0,0,0,0,1,0,12,12,0,1,99
flat,pioneer araya,sector 62,10.75,19500.0,5512.8,Super Built up area 5514(512.27 sq.m.),5,7,3,10.0,North-East,Relatively New,5514.0,,,0,0,0,0,0,1,1,0,6,0,0,15,0,0,0,0,0,0,0,0,0,4,0,1,153
