property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servent room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,gls avenue,sector 92,0.21,6954.0,1.0,1,1,0.0,Relatively New,336.0,0,0,0,0,0,0,63,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,paras quartier,sector 59,5.9,11028.0,4.0,4,3+,0.0,Moderately old,5350.0,0,0,0,0,0,0,63,"28.4051° N, 77.1097° E",28.4051,77.1097
flat,hsiidc sidco aravali,sector 1,0.9,3477.0,3.0,3,3+,8.0,Moderately old,1900.0,0,0,0,0,0,0,23,"28.3663° N, 76.9456° E",28.3663,76.9456
house,sector 15 part 2 rwa,sector 15,10.0,22120.0,5.0,5,2,2.0,Old Property,4518.0,0,0,0,0,0,0,49,"28.4621° N, 77.0464° E",28.4621,77.0464
flat,eldeco accolade,sector 48,0.72,4975.0,2.0,2,3+,12.0,Relatively New,1165.0,0,0,0,0,0,0,152,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,dlf belvedere towers,sector 25,3.4,13765.0,4.0,4,3,1.0,Old Property,2744.0,0,0,0,0,0,0,26,"28.4844° N, 77.0860° E",28.4844,77.086
flat,pareena coban residences,sector 99,1.3,6510.0,3.0,3,0,16.0,New Property,1997.0,0,0,0,0,0,0,0,"28.4640° N, 76.9614° E",28.464,76.9614
flat,vatika the seven lamps,sector 82,1.39,6412.0,3.0,3,3+,11.0,Relatively New,2057.0,0,0,0,0,0,2,117,"28.3935° N, 76.9600° E",28.3935,76.96
flat,global hill view,sector 11,0.33,4271.0,2.0,2,0,11.0,Relatively New,761.0,0,0,0,0,0,0,0,"28.4531° N, 77.0202° E",28.4531,77.0202
flat,.,sector 59,7.0,11000.0,4.0,4,3+,6.0,Relatively New,5714.0,0,0,0,0,0,0,52,"28.4051° N, 77.1097° E",28.4051,77.1097
flat,tulip violet,sector 69,1.85,9203.0,4.0,4,2,14.0,Relatively New,1914.0,0,0,0,0,0,2,157,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,pioneer araya,sector 62,9.14,19488.0,4.0,6,3,16.0,Relatively New,4043.0,0,0,0,0,0,2,146,"28.4139° N, 77.0886° E",28.4139,77.0886
flat,experion windchants,sector 112,2.8,11470.0,2.0,3,2,9.0,Relatively New,2441.2,0,0,0,0,0,0,137,"28.5189° N, 77.0183° E",28.5189,77.0183
flat,emaar mgf emerald estate,sector 65,1.3,20602.0,2.0,2,2,7.0,Relatively New,836.0,0,0,0,0,0,0,78,"28.4030° N, 77.0690° E",28.403,77.069
flat,dlf the primus,sector 82,3.5,13430.0,5.0,5,3+,14.0,Relatively New,2896.0,0,0,0,0,0,1,49,"28.3935° N, 76.9600° E",28.3935,76.96
flat,emaar mgf emerald floors,sector 65,3.2,10159.0,4.0,3,2,1.0,Relatively New,3150.0,0,0,0,0,0,0,0,"28.4030° N, 77.0690° E",28.403,77.069
flat,dlf the ultima,sector 81,3.45,12012.0,4.0,4,3+,10.0,New Property,2735.0,0,0,0,0,0,1,165,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,ss the leaf,sector 85,1.93,8075.0,3.0,4,3,7.0,Relatively New,2400.0,0,0,0,0,0,0,174,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,mapsko casa bella,sector 82,0.86,8120.0,3.0,3,3,5.0,Moderately old,1268.0,0,0,0,0,0,2,120,"28.3935° N, 76.9600° E",28.3935,76.96
flat,shree vardhman victoria,sector 70,1.07,7925.0,2.0,2,3,8.0,Relatively New,1286.0,0,0,0,0,0,0,108,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,bestech park view city,sector 48,1.8,10250.0,3.0,4,3,3.0,Moderately old,1951.0,0,0,0,0,0,2,76,"28.4177° N, 77.0359° E",28.4177,77.0359
house,shivpuri,sector 7,2.4,8883.0,10.0,5,3,2.0,Old Property,2700.0,1,1,0,1,0,0,8,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,dlf the primus,sector 82,1.59,10338.0,3.0,3,3+,5.0,Relatively New,1711.0,0,0,0,0,0,1,167,"28.3935° N, 76.9600° E",28.3935,76.96
flat,siddhartha apartment,sector 95,1.1,4327.0,4.0,3,3,9.0,Relatively New,2824.0,0,0,0,0,0,0,22,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,godrej oasis,sector 88,1.29,7800.0,3.0,3,3,5.0,New Property,1680.0,0,0,0,0,0,0,65,"28.4220° N, 76.9571° E",28.422,76.9571
flat,sare green parc phase,sector 92,0.79,6086.0,3.0,2,2,15.0,New Property,1236.0,0,0,0,0,0,0,29,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,bptp park generations,sector 37,1.5,9868.0,3.0,2,3+,17.0,Relatively New,1448.0,0,0,0,0,0,0,42,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,signature global synera,sector 81,0.45,7525.0,2.0,2,2,6.0,Relatively New,664.0,0,0,0,0,0,2,39,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,bptp terra,sector 37,1.45,8006.0,3.0,3,3,9.0,Relatively New,1725.0,0,0,0,0,0,0,107,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,signature global park,sector 36,1.0,9900.0,3.0,2,3,2.0,New Property,1122.0,0,0,0,0,0,0,128,"28.4160° N, 76.9914° E",28.416,76.9914
flat,essel tower,sector 28,2.2,12500.0,3.0,4,3+,3.0,Moderately old,1956.0,0,0,0,0,0,1,0,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,sare homes,sector 92,0.71,5354.0,3.0,3,3,2.0,Relatively New,1473.0,0,0,0,0,0,0,108,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,afnhb jalvayu vihar,sector 30,1.45,11153.0,3.0,2,2,2.0,Old Property,1300.0,0,0,0,0,0,1,75,"28.4604° N, 77.0579° E",28.4604,77.0579
house,international city by sobha phase 1,sector 109,6.0,24665.0,4.0,5,3+,2.0,Relatively New,2430.0,0,1,0,0,0,2,96,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,adani aangan galleria,sector 89,0.42,4941.0,2.0,2,2,3.0,Relatively New,810.0,0,0,0,0,0,0,0,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,emaar gurgaon greens,sector 102,1.42,8606.0,3.0,3,3,4.0,Relatively New,1353.0,0,0,0,0,0,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
flat,oriental valley chs,sector 9,1.5,8108.0,4.0,3,3+,8.0,Moderately old,2056.0,0,0,0,0,0,0,35,"28.4603° N, 77.0000° E",28.4603,77.0
flat,sagar apartment,sector 56,1.45,7250.0,3.0,3,3+,7.0,Old Property,1900.0,0,0,0,0,0,0,166,"28.4245° N, 77.0991° E",28.4245,77.0991
house,independent,sector 26,13.5,29862.0,5.0,5,3+,2.0,Relatively New,4518.0,1,1,0,1,1,1,49,"28.4757° N, 77.1032° E",28.4757,77.1032
flat,godrej,sector 79,1.33,8531.0,2.0,2,3,6.0,Relatively New,1485.0,0,0,0,0,0,0,158,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,shree vardhman victoria,sector 70,1.9,9743.0,3.0,3,3,10.0,New Property,1857.0,0,0,0,0,0,0,36,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,emaar digihomes,sector 62,2.15,14257.0,2.0,2,3,31.0,Under Construction,1676.0,0,0,0,0,0,0,101,"28.4139° N, 77.0886° E",28.4139,77.0886
house,independent,sector 14,5.5,16976.0,5.0,4,2,2.0,Old Property,3239.93,1,0,0,0,0,0,27,"28.4711° N, 77.0454° E",28.4711,77.0454
flat,denso haryana housing society,sector 1,0.9,4308.0,3.0,3,3+,5.0,Moderately old,2321.0,0,0,0,0,0,0,7,"28.3663° N, 76.9456° E",28.3663,76.9456
flat,ireo victory valley,sector 67,3.15,12846.0,3.0,4,3+,15.0,Relatively New,2335.0,0,0,0,0,0,2,149,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,10601.0,2.0,2,2,12.0,Relatively New,871.0,0,0,0,0,0,0,100,"28.4750° N, 76.9715° E",28.475,76.9715
flat,ss the leaf,sector 85,1.25,7179.0,2.0,2,2,16.0,Relatively New,1934.0,0,0,0,0,0,2,49,"28.4042° N, 76.9513° E",28.4042,76.9513
house,dlf city plots phase 2,sector 25,7.5,38710.0,2.0,9,3+,4.0,Relatively New,1937.5,1,1,0,1,0,2,160,"28.4844° N, 77.0860° E",28.4844,77.086
house,independent,sector 39,1.6,17909.0,1.0,1,2,2.0,Old Property,892.0,0,0,0,0,0,0,40,"28.4434° N, 77.0515° E",28.4434,77.0515
flat,micasa sec,sector 48,1.5,12244.0,2.0,2,3,11.0,New Property,1361.0,0,0,0,0,0,0,44,"28.4177° N, 77.0359° E",28.4177,77.0359
house,independent,sector 48,0.82,3907.0,3.0,2,1,1.0,Moderately old,2333.0,0,0,0,0,0,0,0,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,sobha city,sector 108,1.9,13758.0,2.0,2,2,8.0,Relatively New,1315.0,0,0,0,0,0,0,85,"28.5134° N, 76.9830° E",28.5134,76.983
flat,emaar emerald hills,sector 65,1.95,13928.0,3.0,3,3+,1.0,New Property,1556.0,0,0,0,0,0,2,117,"28.4030° N, 77.0690° E",28.403,77.069
flat,tata primanti,sector 72,3.21,15000.0,3.0,4,3+,15.0,Relatively New,2140.0,0,0,0,0,0,2,174,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,ramprastha primera,sector 37,1.1,6111.0,3.0,3,3,6.0,Relatively New,1700.0,0,0,0,0,0,0,149,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,pivotal devaan,sector 84,0.34,7039.0,2.0,2,1,1.0,Relatively New,537.0,0,0,0,0,0,2,84,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,sare homes,sector 92,0.5,4237.0,3.0,3,2,1.0,Relatively New,1124.0,0,0,0,0,0,0,26,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,aipl zen residences,sector 70,1.25,9904.0,2.0,2,3,19.0,Relatively New,1402.0,0,0,0,0,0,0,0,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,dlf new town heights,sector 91,1.75,7402.0,4.0,4,3+,9.0,Relatively New,2251.0,0,0,0,0,0,0,88,"28.4014° N, 76.9225° E",28.4014,76.9225
house,independent,sector 24,1.45,2994.0,3.0,3,1,1.0,Old Property,540.0,0,0,0,0,0,0,9,"28.4939° N, 77.1038° E",28.4939,77.1038
